id,match_id,team_id,scored,conceded,tries,cons,pens,drops
736,244319,5,26,12,2,2,3,1
737,272997,31,11,29,,,,
738,248675,1,19,14,3,2,0,0
739,248675,9,14,19,1,0,3,0
740,272999,31,20,48,,,,
741,272999,21,48,20,,,,
742,181974,4,54,9,8,7,0,0
743,272997,13,29,11,,,,
744,181974,29,9,54,0,0,3,0
745,244311,10,9,34,0,0,3,0
746,244311,6,34,9,4,1,4,0
747,266285,82,39,19,5,3,2,0
748,266285,57,19,39,3,2,0,0
749,240555,15,16,25,1,1,3,0
750,263905,14,26,27,3,1,2,0
751,263905,142,27,26,3,3,2,0
752,240555,8,25,16,1,1,6,0
753,264161,264121,13,10,,,,
754,264161,103,10,13,,,,
755,249669,12,43,3,7,4,0,0
756,249669,82,3,43,0,0,1,0
757,259399,64,14,22,,,,
758,259399,82,22,14,,,,
759,264155,120,12,0,,,,
760,264155,116,0,12,,,,
761,240045,22,24,14,,,,
762,240045,31,14,24,,,,
763,262865,84916,32,12,,,,
764,262865,105,12,32,,,,
765,264151,120,20,7,,,,
766,264151,111,7,20,,,,
767,259395,29,22,30,3,2,1,0
768,263765,53,7,71,,,,
769,259395,264769,30,22,5,1,1,0
770,263765,10,71,7,,,,
771,242935,88,29,7,,,,
772,242935,74,7,29,,,,
773,240031,30,22,25,,,,
774,240031,47,25,22,,,,
775,240025,108,20,23,,,,
776,240025,56,23,20,,,,
777,240029,90,46,11,,,,
778,240029,87,11,46,,,,
779,257185,26,26,33,,,,
780,257185,49,33,26,,,,
781,262839,171355,28,26,,,,
782,262839,41,26,28,,,,
783,259391,29,3,13,0,0,1,0
784,258713,129,15,22,,,,
785,259391,11,13,3,1,1,2,0
786,258713,99,22,15,,,,
787,259389,29,48,9,6,3,4,0
788,240015,21,53,23,,,,
789,259389,33,9,48,0,0,2,0
790,240015,13,23,53,,,,
791,240019,56,40,20,,,,
792,240019,83,20,40,,,,
793,240017,72,13,16,,,,
794,240017,108,16,13,,,,
795,240021,47,22,3,,,,
796,240021,85,3,22,,,,
797,262835,113561,27,8,,,,
798,262835,84914,8,27,,,,
799,256459,49,30,56,3,2,2,0
800,256459,23,56,30,9,2,1,0
801,240023,86,11,14,,,,
802,240023,61,14,11,,,,
803,258711,112,7,24,,,,
804,258711,92,24,7,,,,
805,262127,262051,31,3,,,,
806,262127,134,3,31,,,,
807,258709,77,3,24,,,,
808,258709,78,24,3,,,,
809,240011,80,23,18,,,,
810,240011,89,18,23,,,,
811,240007,21,71,10,,,,
812,240007,31,10,71,,,,
