id,player_id,team_id,match_id,time,action_type,extra_info
8021,15308,25,93487,63,pens,
8022,97871,10,93485,72,tries,
8023,85497,6,93491,10,cons,
8024,14945,11,93488,18,cons,
8025,15262,3,93484,37,tries,
8026,15308,25,93487,78,pens,
8027,13010,10,93485,73,cons,
8028,15446,4,93486,13,tries,
8029,85497,6,93491,12,cons,
8030,14945,11,93488,27,pens,
8031,15966,3,93484,38,tries,
8032,13010,10,93485,18,pens,
8033,104729,4,93486,17,tries,
8034,85497,6,93491,15,cons,
8035,15966,3,93484,47,tries,
8036,13010,10,93485,62,pens,
8037,13814,4,93486,49,tries,
8038,85497,6,93491,23,cons,
8039,14068,12,93489,11,pens,
8040,15083,3,93484,40,tries,
8041,122371,4,93486,60,tries,
8042,85497,6,93491,36,cons,
8043,14068,12,93489,32,pens,
8044,15208,3,93484,64,tries,
8045,15276,14,93483,67,tries,
8046,122371,4,93486,65,tries,
8047,85497,6,93491,40,cons,
8048,15222,12,93489,71,pens,
8049,15207,3,93484,72,tries,
8050,15718,14,93483,67,cons,
8051,27626,4,93486,62,tries,
8052,85497,6,93491,43,cons,
8053,117541,6,93480,7,tries,
8054,15614,3,93484,78,tries,
8055,105786,23,93487,9,tries,
8056,13266,2,93485,35,pens,
8057,112291,4,93486,74,tries,
8058,85497,6,93491,50,cons,
8059,14879,6,93480,10,tries,
8060,13312,3,93484,10,cons,
8061,14589,23,93487,39,tries,
8062,27651,2,93485,38,pens,
8063,15023,4,93486,77,tries,
8064,85497,6,93491,79,cons,
8065,15591,6,93480,30,tries,
8066,13312,3,93484,13,cons,
8067,15502,23,93487,10,cons,
8068,27651,2,93485,65,drops,
8069,15288,4,93486,80,tries,
8070,14268,1,93481,15,tries,
8071,91484,6,93480,34,tries,
8072,13312,3,93484,37,cons,
8073,91593,15,93483,61,tries,
8074,15502,23,93487,40,cons,
8075,14387,2,93485,71,drops,
8076,12924,4,93486,14,cons,
8077,13952,20,93477,5,tries,
8078,14268,1,93481,21,tries,
8079,86177,23,93478,13,tries,
8080,91484,6,93480,70,tries,
8081,13312,3,93484,39,cons,
8082,13774,15,93483,69,tries,
8083,15502,23,93487,23,pens,
8084,12924,4,93486,17,cons,
8085,16009,20,93477,13,tries,
8086,14268,1,93481,26,tries,
8087,86181,23,93478,25,tries,
8088,14686,6,93480,44,tries,
8089,13312,3,93484,48,cons,
8090,117765,15,93483,70,cons,
8091,15502,23,93487,65,pens,
8092,12924,4,93486,46,cons,
8093,16009,20,93477,22,tries,
8094,27816,1,93481,31,tries,
8095,105788,23,93478,63,tries,
8096,110215,6,93480,48,tries,
8097,13312,3,93484,65,cons,
8098,15417,15,93483,5,pens,
8099,15502,23,93487,72,pens,
8100,12924,4,93486,49,cons,
8101,122370,20,93477,15,tries,
8102,27816,1,93481,34,tries,
8103,15875,23,93478,39,pens,
8104,15009,6,93480,58,tries,
8105,16004,3,93484,72,cons,
8106,15417,15,93483,9,pens,
8107,12924,4,93486,61,cons,
8108,122370,20,93477,47,tries,
8109,14315,25,93476,6,tries,
8110,27816,1,93481,69,tries,
8111,15009,6,93480,63,tries,
8112,13312,3,93484,5,pens,
8113,15417,15,93483,26,pens,
8114,12924,4,93486,62,cons,
8115,82009,1,93475,3,tries,
8116,129423,20,93477,37,tries,
8117,14313,25,93476,7,cons,
8118,27263,1,93481,40,tries,
8119,15009,6,93480,65,tries,
8120,15417,15,93483,44,pens,
8121,82089,4,93486,67,cons,
8122,82009,1,93475,20,tries,
8123,16047,20,93477,64,tries,
8124,14313,25,93476,1,pens,
8125,15901,1,93481,48,tries,
8126,14554,6,93480,78,tries,
8127,15417,15,93483,12,drops,
8128,82089,4,93486,70,cons,
8129,15521,1,93475,46,tries,
8130,15073,20,93477,76,tries,
8131,14313,25,93476,59,pens,
8132,104991,1,93481,61,tries,
8133,15590,6,93480,60,cons,
8134,82089,4,93486,80,cons,
8135,15382,57,93491,32,tries,
8136,104991,1,93475,62,tries,
8137,98241,20,93477,6,cons,
8138,98007,5,93479,6,tries,
8139,15308,25,93476,43,drops,
8140,15831,1,93481,67,tries,
8141,15590,6,93480,64,cons,
8142,12924,4,93486,2,pens,
8143,150173,57,93491,59,tries,
8144,27816,1,93475,65,tries,
8145,92040,15,93474,40,tries,
8146,98241,20,93477,23,cons,
8147,98007,5,93479,64,tries,
8148,15308,25,93476,48,drops,
8149,12757,1,93481,22,cons,
8150,102699,16,93478,6,tries,
8151,15590,6,93480,67,cons,
8152,14032,57,93491,67,tries,
8153,27816,1,93475,80,tries,
8154,117765,15,93474,40,cons,
8155,98241,20,93477,28,cons,
8156,14660,5,93479,21,tries,
8157,12757,1,93481,32,cons,
8158,13783,16,93478,14,tries,
8159,15590,6,93480,78,cons,
8160,14032,57,93491,61,cons,
8161,15414,1,93475,3,cons,
8162,117765,15,93474,19,pens,
8163,98241,20,93477,37,cons,
8164,14337,5,93479,37,tries,
8165,12757,1,93481,35,cons,
8166,91541,16,93478,54,tries,
8167,14032,57,93491,68,cons,
8168,15414,1,93475,21,cons,
8169,15421,5,93479,48,tries,
8170,15414,1,93481,49,cons,
8171,106985,16,93478,15,cons,
8172,14032,57,93491,46,drops,
8173,15414,1,93475,62,cons,
8174,98620,5,93479,60,tries,
8175,15414,1,93481,61,cons,
8176,106985,16,93478,55,cons,
8177,15414,1,93475,65,cons,
